id,read12,math12,hsgrad,inpse,catholic,read8,math8,female,race,white,black,hisp,api,nativam,parmar8,faminc8,fathed8,mothed8,fhowfar,mhowfar,fight8,0hw8,disrupt8,riskdrop8
124902,61.41,49.77,1,1,1,55.96,50.27,0,white,1,0,0,0,0,married,$25000-$34999,hs grad,hs grad,coll <4,coll <4,never,0,0,1
124915,58.34,59.84,1,1,1,63.1,51.52,0,white,1,0,0,0,0,married,$25000-$34999,dont k0w,dont k0w,coll <4,coll grad,never,0,0,0
124916,59.33,50.38,1,1,1,60.99,47.56,1,white,1,0,0,0,0,married,$25000-$34999,0t finish hs,doctorate,coll <4,coll <4,never,0,0,0
124932,49.59,45.03,1,1,1,45.34,46.6,1,white,1,0,0,0,0,married,$25000-$34999,dont k0w,dont k0w,coll grad,coll grad,never,0,0,1
124944,57.62,54.26,1,1,1,55.93,60.22,1,white,1,0,0,0,0,married,35000-$49999,hs grad,hs grad,coll grad,coll grad,never,0,0,1
124966,60.12,55.37,1,1,1,66.85,58.63,1,white,1,0,0,0,0,married,$10000-$14999,0t finish hs,hs grad,coll grad,coll grad,never,0,0,1
124968,64.69,65.07,1,1,1,58.58,59.85,0,white,1,0,0,0,0,married,$25000-$34999,hs grad,hs grad,coll <4,coll <4,never,0,0,0
124970,48.19,47.97,1,1,1,54.65,47.92,0,white,1,0,0,0,0,married,$25000-$34999,masters,junior coll,coll grad,coll grad,once or twice,0,1,1
124972,42.09,53.98,1,1,1,49.46,49.65,0,white,1,0,0,0,0,married,$25000-$34999,junior coll,junior coll,coll grad,coll grad,once or twice,0,1,0
124974,60.23,62.72,1,0,1,64.89,64.36,0,white,1,0,0,0,0,divorced,$15000-$19999,hs grad,coll <4,coll grad,coll grad,more than twice,1,1,1
124985,58.25,52.05,1,1,1,46.72,45.47,1,white,1,0,0,0,0,married,35000-$49999,junior coll,hs grad,hs grad,hs grad,once or twice,0,1,2
124990,63.95,63.86,1,1,1,54.98,57.34,1,white,1,0,0,0,0,married,$25000-$34999,hs grad,junior coll,coll grad,coll grad,never,0,0,0
124998,43.15,45.54,1,0,1,34.66,38.64,1,white,1,0,0,0,0,separated,$15000-$19999,hs grad,hs grad,hs grad,hs grad,never,0,0,1
175585,60.28,62.5,1,1,1,59.78,60.96,1,white,1,0,0,0,0,divorced,$25000-$34999,junior coll,masters,coll grad,postsec ed,never,1,0,1
180607,63.57,58.77,1,1,1,60.16,60.61,0,white,1,0,0,0,0,married,$15000-$19999,coll <4,coll <4,postsec ed,postsec ed,never,0,0,0
180610,55.4,63.43,1,1,1,63.67,63.9,0,white,1,0,0,0,0,married,35000-$49999,coll grad,hs grad,coll grad,coll grad,never,0,0,1
180625,45.79,51.51,1,1,1,43.4,41.31,0,white,1,0,0,0,0,married,35000-$49999,hs grad,hs grad,coll grad,coll grad,never,0,0,0
180672,58.2,50.02,1,0,1,62.65,52.31,1,white,1,0,0,0,0,married,35000-$49999,coll grad,hs grad,postsec ed,postsec ed,never,0,0,0
180681,59.28,64.14,1,1,1,63.9,72.94,0,white,1,0,0,0,0,married,35000-$49999,masters,coll grad,postsec ed,postsec ed,never,0,0,0
180690,63.31,63.5,1,1,1,70.55,59.78,0,white,1,0,0,0,0,married,$25000-$34999,doctorate,masters,coll grad,coll grad,never,0,0,0
184603,59.31,48.76,1,1,1,51.19,50.85,0,white,1,0,0,0,0,married,50000-$74999,hs grad,hs grad,postsec ed,postsec ed,never,1,0,0
184619,55.9,44.32,1,1,1,52.18,50.06,0,white,1,0,0,0,0,divorced,$3000-$4999,hs grad,0t finish hs,coll grad,coll grad,never,1,0,2
184626,54.86,40.68,1,1,1,44.28,50.96,0,white,1,0,0,0,0,married,$25000-$34999,hs grad,hs grad,postsec ed,postsec ed,never,0,0,0
184670,44.45,45.65,1,1,1,38.27,39.35,1,white,1,0,0,0,0,married,$25000-$34999,dont k0w,dont k0w,coll <4,coll <4,never,0,0,0
184690,56.92,50.88,1,0,1,60.7,57.15,0,white,1,0,0,0,0,married,35000-$49999,hs grad,hs grad,coll grad,coll grad,never,0,0,0
700035,41.74,35.25,1,1,0,40.7,38.38,1,hispanic,0,0,1,0,0,married,$20000-$24999,0t finish hs,0t finish hs,postsec ed,postsec ed,never,0,0,1
701120,61.3,63.23,1,1,0,70.55,64.92,1,white,1,0,0,0,0,married,35000-$49999,masters,hs grad,postsec ed,coll grad,never,0,0,0
701131,42.07,43.12,1,0,0,50.23,44.18,1,white,1,0,0,0,0,divorced,$5000-$7499,coll grad,hs grad,coll grad,coll grad,never,0,0,2
701148,45.98,61.29,1,1,0,38.19,52.59,0,white,1,0,0,0,0,married,35000-$49999,dont k0w,dont k0w,coll grad,coll grad,once or twice,0,1,0
701163,44.17,37.06,1,1,0,46.94,56.45,1,white,1,0,0,0,0,married,50000-$74999,0t finish hs,dont k0w,coll <4,hs grad,never,0,0,0
701178,56.8,64.11,1,0,0,65.85,66.3,1,white,1,0,0,0,0,married,35000-$49999,coll grad,junior coll,postsec ed,postsec ed,never,0,0,0
701612,62.62,66.26,1,1,0,56.62,53.22,0,white,1,0,0,0,0,separated,35000-$49999,0t finish hs,junior coll,hs grad,postsec ed,once or twice,0,1,0
701643,57.33,65.93,1,1,0,55.81,70.81,0,api,0,0,0,1,0,married,50000-$74999,coll <4,hs grad,coll grad,coll grad,never,0,0,0
701670,67.51,63.54,1,1,0,70.55,71.94,0,black,0,1,0,0,0,married,$25000-$34999,doctorate,dont k0w,postsec ed,postsec ed,never,0,0,0
701672,50.19,49.21,1,1,0,49.71,45.07,1,black,0,1,0,0,0,married,35000-$49999,dont k0w,dont k0w,coll grad,coll grad,never,0,0,0
701693,37.1,47.94,1,1,0,62.41,60.32,0,white,1,0,0,0,0,married,50000-$74999,junior coll,junior coll,postsec ed,postsec ed,more than twice,0,1,0
702804,40.31,56.63,1,1,0,50.63,66.19,0,white,1,0,0,0,0,married,50000-$74999,coll <4,coll grad,coll grad,coll grad,never,0,0,0
702812,39.8,35.06,0,0,0,49.99,41.58,0,white,1,0,0,0,0,married,35000-$49999,hs grad,hs grad,hs grad,hs grad,never,1,0,1
702819,60.96,66.46,1,1,0,58.24,67.26,0,white,1,0,0,0,0,married,35000-$49999,masters,coll grad,coll grad,coll grad,never,0,0,0
702829,41.98,49.91,1,0,0,55.06,49.03,1,white,1,0,0,0,0,married,35000-$49999,junior coll,hs grad,coll <4,coll <4,never,0,0,0
702849,54.3,53.89,1,1,0,48.98,55.44,1,white,1,0,0,0,0,married,35000-$49999,masters,hs grad,coll grad,coll grad,never,0,0,0
702866,56.41,61.94,1,1,0,56.84,59.37,0,white,1,0,0,0,0,married,$25000-$34999,hs grad,hs grad,junior coll,coll <4,never,0,0,0
702871,53.43,46.15,1,1,0,40.95,43.26,1,ai,0,0,0,0,1,married,$25000-$34999,hs grad,0t finish hs,coll grad,coll grad,never,0,0,0
702876,66.52,69.72,1,1,0,70.55,72.23,1,api,0,0,0,1,0,married,50000-$74999,doctorate,doctorate,postsec ed,postsec ed,never,0,0,0
702908,54.45,50.39,1,1,0,59.14,54.26,0,white,1,0,0,0,0,married,$25000-$34999,0t finish hs,hs grad,coll grad,coll grad,never,0,0,1
702911,45.25,41.8,1,0,0,42.36,42.48,0,white,1,0,0,0,0,married,7500-$9999,0t finish hs,0t finish hs,0t finish hs,0t finish hs,never,0,0,2
702920,51.58,40.75,1,0,0,40.66,40.3,1,white,1,0,0,0,0,married,$15000-$19999,hs grad,0t finish hs,hs grad,0t finish hs,never,0,0,1
702927,42.47,34.44,1,1,0,46.39,36.81,0,white,1,0,0,0,0,married,$20000-$24999,hs grad,hs grad,coll grad,coll grad,never,0,0,0
702935,49.05,36.21,1,0,0,47.39,48.79,1,white,1,0,0,0,0,married,$15000-$19999,junior coll,hs grad,junior coll,junior coll,never,0,0,0
702948,58.89,55.51,1,1,0,63.34,62.1,1,white,1,0,0,0,0,married,$15000-$19999,coll <4,junior coll,postsec ed,postsec ed,once or twice,0,1,0
702949,52.21,48.28,1,0,0,51.5,45.75,0,white,1,0,0,0,0,married,35000-$49999,junior coll,hs grad,coll grad,coll grad,once or twice,0,1,0
702962,43.05,43.38,1,0,0,50.02,42.04,0,white,1,0,0,0,0,divorced,$3000-$4999,0t finish hs,0t finish hs,coll grad,coll grad,never,0,0,3
702986,32.43,46.46,1,0,0,52.19,60.97,0,white,1,0,0,0,0,married,$25000-$34999,dont k0w,dont k0w,coll grad,coll grad,never,0,0,0
702993,42.76,44.54,1,0,0,40.28,42.59,1,white,1,0,0,0,0,divorced,$5000-$7499,0t finish hs,0t finish hs,hs grad,hs grad,never,0,0,2
702996,54.3,43.09,1,0,0,50.02,50.16,0,white,1,0,0,0,0,married,$10000-$14999,dont k0w,dont k0w,coll <4,coll grad,never,0,0,1
704210,37.5,52.04,1,0,0,40.68,42.72,1,hispanic,0,0,1,0,0,married,$15000-$19999,0t finish hs,hs grad,coll grad,coll grad,never,1,0,0
704225,37.17,42.43,0,0,0,43.62,40.05,0,white,1,0,0,0,0,married,<$1000,0t finish hs,0t finish hs,0t finish hs,0t finish hs,once or twice,1,1,3
704227,60.3,54.33,1,1,0,61.42,51.05,1,white,1,0,0,0,0,married,50000-$74999,coll <4,coll grad,coll grad,postsec ed,never,0,0,0
704230,55.25,60.18,1,1,0,58.4,56.68,1,ai,0,0,0,0,1,married,$25000-$34999,hs grad,hs grad,coll grad,coll grad,never,0,0,1
704260,32.6,32,1,0,0,41.56,37.47,0,white,1,0,0,0,0,married,$25000-$34999,0t finish hs,hs grad,coll grad,coll grad,more than twice,1,1,1
704271,52.31,57.75,1,1,0,56.97,57.43,1,white,1,0,0,0,0,married,$20000-$24999,hs grad,coll grad,postsec ed,postsec ed,never,0,0,0
704289,34.49,42.34,1,0,0,48.21,52.35,0,ai,0,0,0,0,1,married,35000-$49999,hs grad,coll grad,coll grad,coll grad,once or twice,0,1,0
704296,63.46,62.3,1,1,0,65.47,50.85,1,white,1,0,0,0,0,married,50000-$74999,junior coll,junior coll,coll grad,coll grad,never,0,0,0
704815,57.8,67.56,1,1,0,65.71,67.3,0,api,0,0,0,1,0,married,50000-$74999,masters,dont k0w,coll grad,coll grad,never,0,0,0
704816,50.13,62.08,1,0,0,41.9,50.58,0,white,1,0,0,0,0,married,50000-$74999,coll grad,hs grad,postsec ed,postsec ed,never,0,0,0
704868,62.17,60.15,1,1,0,57.29,61.25,1,white,1,0,0,0,0,married,50000-$74999,coll <4,coll grad,coll grad,postsec ed,never,0,0,0
708902,40.17,54.34,1,0,0,41.87,41.14,0,white,1,0,0,0,0,married,50000-$74999,hs grad,hs grad,coll grad,coll grad,never,0,0,1
708906,64.83,61.27,1,1,0,66.5,54.7,1,api,0,0,0,1,0,married,$25000-$34999,masters,coll grad,postsec ed,postsec ed,never,0,0,0
708920,58.48,57.12,1,1,0,66.39,65.11,1,white,1,0,0,0,0,divorced,$25000-$34999,hs grad,coll <4,coll grad,postsec ed,never,0,0,2
708925,55.85,52.57,1,1,0,42.41,46.89,0,white,1,0,0,0,0,divorced,$10000-$14999,junior coll,junior coll,coll grad,coll grad,once or twice,0,1,2
708928,56.43,50.03,1,0,0,40.7,41.23,0,white,1,0,0,0,0,married,$25000-$34999,hs grad,hs grad,hs grad,junior coll,more than twice,0,1,0
708946,44.85,43.97,1,1,0,42.71,40.87,1,white,1,0,0,0,0,married,35000-$49999,coll grad,coll grad,postsec ed,postsec ed,never,0,0,0
708951,37.78,34.57,1,0,0,47.95,38.76,1,white,1,0,0,0,0,married,35000-$49999,coll grad,coll grad,coll <4,coll <4,never,0,0,0
708953,54.16,55.47,1,1,0,42.47,46.95,0,white,1,0,0,0,0,married,$25000-$34999,junior coll,hs grad,coll grad,coll <4,never,0,0,0
708990,51.34,50.27,1,1,0,51.39,54.75,1,white,1,0,0,0,0,divorced,$15000-$19999,doctorate,hs grad,postsec ed,coll grad,never,0,0,1
708997,66.72,63.79,1,1,0,60.71,63.2,1,api,0,0,0,1,0,married,$25000-$34999,coll grad,0t finish hs,coll grad,coll grad,never,0,0,0
709053,34.55,36.51,1,1,0,37.9,42.61,1,black,0,1,0,0,0,divorced,<$1000,dont k0w,0t finish hs,postsec ed,coll grad,never,0,0,2
709414,66.74,57.61,1,1,0,66.5,63.24,1,white,1,0,0,0,0,married,$25000-$34999,coll grad,coll grad,coll grad,coll grad,never,1,0,0
709421,59.93,57.83,1,1,0,65.69,71.76,0,white,1,0,0,0,0,married,$10000-$14999,junior coll,hs grad,postsec ed,postsec ed,never,0,0,1
709427,58.83,46.8,1,0,0,63.34,45.95,1,white,1,0,0,0,0,married,$25000-$34999,hs grad,hs grad,coll grad,coll grad,never,0,0,0
709430,61.88,63.09,1,1,0,65.69,65.31,0,white,1,0,0,0,0,married,$25000-$34999,masters,junior coll,postsec ed,coll grad,never,1,0,0
709436,45.6,50.74,1,0,0,38.65,52.16,0,white,1,0,0,0,0,divorced,$3000-$4999,hs grad,hs grad,hs grad,hs grad,never,1,0,2
709478,67.45,61.9,1,1,0,70.55,60.27,1,white,1,0,0,0,0,married,50000-$74999,masters,masters,postsec ed,postsec ed,never,0,0,0
709486,63.82,64,1,1,0,61.42,62.29,1,white,1,0,0,0,0,divorced,$10000-$14999,coll <4,junior coll,coll <4,coll <4,never,0,0,2
709499,49.63,52.87,1,1,0,61.42,44.11,1,white,1,0,0,0,0,married,50000-$74999,masters,hs grad,coll grad,coll grad,never,0,0,0
709603,61.07,62.46,1,0,0,59.65,64.89,1,api,0,0,0,1,0,separated,$10000-$14999,coll <4,0t finish hs,coll grad,coll grad,never,0,0,1
709619,60.04,65.15,1,1,0,47.69,48.95,0,white,1,0,0,0,0,married,35000-$49999,coll grad,coll <4,postsec ed,postsec ed,once or twice,0,1,0
709623,31.85,35.86,0,0,0,34.98,40.77,1,white,1,0,0,0,0,married,$10000-$14999,0t finish hs,0t finish hs,junior coll,junior coll,once or twice,0,1,2
709625,44.7,51.21,1,0,0,45.78,58.94,0,white,1,0,0,0,0,married,$20000-$24999,0t finish hs,hs grad,junior coll,junior coll,never,0,0,0
709658,63.29,62.83,1,0,0,45.97,54.78,0,white,1,0,0,0,0,married,$20000-$24999,masters,junior coll,postsec ed,postsec ed,more than twice,0,1,1
709663,45.95,52.62,1,0,0,45.51,57.89,1,white,1,0,0,0,0,married,$10000-$14999,dont k0w,dont k0w,junior coll,junior coll,never,0,0,1
709685,36.67,37.48,0,0,0,36.15,39.08,0,white,1,0,0,0,0,divorced,$5000-$7499,hs grad,hs grad,hs grad,junior coll,more than twice,0,1,3
709687,44.85,54.5,1,0,0,35.44,55.78,0,white,1,0,0,0,0,married,$5000-$7499,0t finish hs,hs grad,postsec ed,postsec ed,more than twice,0,1,2
709691,40.63,53.86,1,0,0,46.64,48.43,0,white,1,0,0,0,0,married,$15000-$19999,hs grad,hs grad,coll grad,coll grad,never,0,0,0
710405,58.21,50.56,1,1,0,50.86,54.23,1,white,1,0,0,0,0,married,50000-$74999,masters,masters,postsec ed,postsec ed,never,0,0,0
710406,56.09,40.45,1,0,0,50.86,42.49,1,ai,0,0,0,0,1,married,$25000-$34999,0t finish hs,hs grad,hs grad,hs grad,never,0,0,0
710414,32.37,50.25,1,1,0,45.09,47.85,1,white,1,0,0,0,0,married,35000-$49999,hs grad,hs grad,coll grad,coll grad,once or twice,0,1,0
710420,52.5,41.08,0,0,0,40.87,41.16,1,white,1,0,0,0,0,married,$10000-$14999,dont k0w,0t finish hs,postsec ed,postsec ed,never,0,0,1
710427,47.03,50.39,1,1,0,48.28,41.68,1,white,1,0,0,0,0,married,$25000-$34999,hs grad,dont k0w,coll grad,coll grad,never,1,0,0
710436,57.96,49.02,1,0,0,52.53,51.13,0,white,1,0,0,0,0,married,$20000-$24999,hs grad,hs grad,coll grad,postsec ed,never,0,0,1
710449,60.68,60.75,1,1,0,58.91,56.51,0,white,1,0,0,0,0,married,$20000-$24999,junior coll,junior coll,coll grad,coll grad,never,0,0,0
710460,56.98,54.76,1,1,0,46.17,57.67,0,white,1,0,0,0,0,married,7500-$9999,hs grad,hs grad,junior coll,junior coll,once or twice,0,1,2
710469,55,54.61,1,1,0,48.29,62.67,1,white,1,0,0,0,0,married,35000-$49999,hs grad,hs grad,coll grad,coll grad,never,0,0,0
710482,61.91,66.08,1,1,0,63.27,57.5,1,white,1,0,0,0,0,married,$20000-$24999,hs grad,hs grad,coll grad,junior coll,never,0,0,0
710600,54.88,45.81,1,1,0,55.25,50.05,1,white,1,0,0,0,0,divorced,$10000-$14999,hs grad,junior coll,coll grad,coll grad,never,0,0,2
710613,46.35,60.9,1,1,0,47.79,62.6,1,white,1,0,0,0,0,divorced,$15000-$19999,coll grad,hs grad,coll grad,coll grad,never,0,0,1
710615,68.09,62.87,1,1,0,70.55,75.62,1,white,1,0,0,0,0,married,$25000-$34999,coll grad,masters,postsec ed,postsec ed,never,0,0,0
710635,40.88,40.09,0,0,0,42.11,49.07,1,white,1,0,0,0,0,divorced,$10000-$14999,0t finish hs,junior coll,hs grad,postsec ed,never,0,0,3
710660,50.9,47.69,1,1,0,58.16,51.13,1,ai,0,0,0,0,1,married,35000-$49999,masters,junior coll,postsec ed,postsec ed,never,0,0,0
